tripStartTime,tripDuration
2020-09-01 00:00:31,433
2020-09-01 00:00:31,878
2020-09-01 00:01:21,2652
2020-09-01 00:01:21,874
2020-09-01 00:01:25,858
2020-09-01 00:01:33,2205
2020-09-01 00:01:45,2124
2020-09-01 00:02:05,2539
2020-09-01 00:02:31,2521
2020-09-01 00:02:32,5292
2020-09-01 00:02:59,388
2020-09-01 00:04:02,2477
2020-09-01 00:04:11,574
2020-09-01 00:04:17,930
2020-09-01 00:04:40,1141
2020-09-01 00:06:16,311
2020-09-01 00:07:22,178
2020-09-01 00:08:26,963
2020-09-01 00:09:58,569
2020-09-01 00:11:13,527
2020-09-01 00:12:29,1334
2020-09-01 00:12:50,850
2020-09-01 00:13:54,201
2020-09-01 00:16:46,84
2020-09-01 00:17:04,1722
2020-09-01 00:17:20,827
2020-09-01 00:17:46,507
2020-09-01 00:21:28,459
2020-09-01 00:22:07,304
2020-09-01 00:22:39,273
2020-09-01 00:25:50,520
2020-09-01 00:26:22,2688
2020-09-01 00:26:32,2680
2020-09-01 00:26:44,298
2020-09-01 00:27:12,479
2020-09-01 00:27:58,219
2020-09-01 00:28:08,1111
2020-09-01 00:29:21,664
2020-09-01 00:30:23,2722
2020-09-01 00:30:48,2360
2020-09-01 00:31:44,620
2020-09-01 00:31:56,345
2020-09-01 00:32:27,1064
2020-09-01 00:37:11,304
2020-09-01 00:38:40,2884
2020-09-01 00:38:46,2880
2020-09-01 00:40:21,306
2020-09-01 00:40:26,554
2020-09-01 00:41:20,132
2020-09-01 00:43:13,265
2020-09-01 00:44:07,394
2020-09-01 00:44:21,339
2020-09-01 00:45:56,1730
2020-09-01 00:46:27,1679
2020-09-01 00:46:51,300
2020-09-01 00:47:18,346
2020-09-01 00:49:21,789
2020-09-01 00:49:45,671
2020-09-01 00:50:53,1006
2020-09-01 00:52:43,203
2020-09-01 00:52:44,1804
2020-09-01 00:52:45,1770
2020-09-01 00:53:31,1729
2020-09-01 00:53:42,1668
2020-09-01 00:53:54,405
2020-09-01 00:56:48,1434
2020-09-01 00:58:11,316
2020-09-01 00:59:48,198
2020-09-01 00:59:54,958
2020-09-01 01:00:00,1159
2020-09-01 01:01:04,2033
2020-09-01 01:01:52,1172
2020-09-01 01:03:13,1574
2020-09-01 01:03:18,1577
2020-09-01 01:03:25,1496
2020-09-01 01:03:29,1535
2020-09-01 01:04:25,1451
2020-09-01 01:04:37,915
2020-09-01 01:04:55,261
2020-09-01 01:05:06,1407
2020-09-01 01:06:36,420
2020-09-01 01:07:02,278
2020-09-01 01:09:19,1642
2020-09-01 01:09:53,1107
2020-09-01 01:10:32,582
2020-09-01 01:13:20,494
2020-09-01 01:13:23,489
2020-09-01 01:13:25,371
2020-09-01 01:14:22,800
2020-09-01 01:18:35,1022
2020-09-01 01:19:53,941
2020-09-01 01:20:04,1144
2020-09-01 01:21:48,464
2020-09-01 01:22:31,327
2020-09-01 01:22:42,1541
2020-09-01 01:22:50,1664
2020-09-01 01:25:07,3206
2020-09-01 01:29:10,955
2020-09-01 01:31:55,325
2020-09-01 01:32:05,730
2020-09-01 01:32:33,2482
2020-09-01 01:37:34,637
2020-09-01 01:39:39,849
2020-09-01 01:40:09,330
2020-09-01 01:40:11,1168
2020-09-01 01:40:27,1148
2020-09-01 01:41:03,847
2020-09-01 01:41:42,1040
2020-09-01 01:44:39,3153
2020-09-01 01:45:21,3331
2020-09-01 01:46:40,2003
2020-09-01 01:47:34,977
2020-09-01 01:48:04,539
2020-09-01 01:48:56,937
2020-09-01 01:49:14,474
2020-09-01 01:49:20,225
2020-09-01 01:49:24,919
2020-09-01 01:51:04,1468
2020-09-01 01:54:10,1274
2020-09-01 01:54:48,1347
2020-09-01 02:01:54,469
2020-09-01 02:04:48,1853
2020-09-01 02:15:45,633
2020-09-01 02:19:35,464
2020-09-01 02:20:19,287
2020-09-01 02:25:57,682
2020-09-01 02:27:21,262
2020-09-01 02:27:30,761
2020-09-01 02:29:06,1389
2020-09-01 02:30:16,521
