tripStartTime,tripDuration
2019-12-01 00:01:25,790
2019-12-01 00:05:43,166
2019-12-01 00:08:29,323
2019-12-01 00:08:39,709
2019-12-01 00:10:09,332
2019-12-01 00:14:26,507
2019-12-01 00:17:47,794
2019-12-01 00:18:20,1354
2019-12-01 00:19:02,1227
2019-12-01 00:24:41,1068
2019-12-01 00:26:34,665
2019-12-01 00:26:52,676
2019-12-01 00:28:20,535
2019-12-01 00:29:24,1255
2019-12-01 00:29:56,1124
2019-12-01 00:30:30,1553
2019-12-01 00:31:02,1483
2019-12-01 00:34:07,476
2019-12-01 00:36:21,243
2019-12-01 00:39:25,518
2019-12-01 00:41:07,443
2019-12-01 00:43:06,208
2019-12-01 00:49:13,555
2019-12-01 00:50:57,584
2019-12-01 00:52:19,472
2019-12-01 00:53:00,2043
2019-12-01 00:55:32,614
2019-12-01 00:56:49,535
2019-12-01 00:57:58,1775
2019-12-01 01:00:01,359
2019-12-01 01:03:17,712
2019-12-01 01:06:26,967
2019-12-01 01:07:04,287
2019-12-01 01:09:34,201
2019-12-01 01:15:07,186
2019-12-01 01:15:36,479
2019-12-01 01:15:49,150
2019-12-01 01:19:33,1383
2019-12-01 01:20:57,617
2019-12-01 01:21:40,296
2019-12-01 01:23:27,441
2019-12-01 01:23:44,334
2019-12-01 01:29:03,674
2019-12-01 01:30:12,1011
2019-12-01 01:32:33,681
2019-12-01 01:32:56,1641
2019-12-01 01:36:20,668
2019-12-01 01:37:09,1407
2019-12-01 01:42:20,649
2019-12-01 01:55:37,156976
2019-12-01 01:56:33,4869
2019-12-01 02:00:36,1631
2019-12-01 02:01:09,191
2019-12-01 02:08:53,565
2019-12-01 02:12:48,1162
2019-12-01 02:14:34,429
2019-12-01 02:25:25,103
2019-12-01 02:29:16,976
2019-12-01 02:30:25,1111
2019-12-01 02:32:19,364
2019-12-01 02:35:43,319
2019-12-01 02:36:05,166
2019-12-01 02:58:02,827
2019-12-01 03:07:11,329
2019-12-01 03:15:38,1153
2019-12-01 03:18:47,2026
2019-12-01 03:20:01,1946
2019-12-01 03:23:27,554
2019-12-01 03:27:48,1979
2019-12-01 03:47:58,327
2019-12-01 03:58:12,343
2019-12-01 04:01:21,359
2019-12-01 04:09:37,3941
2019-12-01 04:18:47,2701
2019-12-01 04:29:50,1464
2019-12-01 04:41:01,576
2019-12-01 04:44:26,538
2019-12-01 04:47:11,643
2019-12-01 04:57:49,913
2019-12-01 05:19:02,2263
2019-12-01 05:29:34,358
2019-12-01 05:51:51,1403
2019-12-01 06:16:10,403
2019-12-01 06:16:56,727
2019-12-01 06:17:08,493
2019-12-01 06:18:33,590
2019-12-01 06:21:55,872
2019-12-01 06:24:10,601
2019-12-01 06:26:10,400
2019-12-01 06:27:25,255
2019-12-01 06:28:22,460
2019-12-01 06:38:28,537
2019-12-01 06:39:04,519
2019-12-01 06:48:52,452
2019-12-01 06:52:46,386
2019-12-01 06:54:11,246
2019-12-01 06:59:16,336
2019-12-01 07:09:20,711
2019-12-01 07:10:32,832
2019-12-01 07:10:44,236
2019-12-01 07:10:59,185
2019-12-01 07:14:58,470
2019-12-01 07:18:48,626
2019-12-01 07:21:24,607
2019-12-01 07:23:26,389
2019-12-01 07:33:00,334
2019-12-01 07:33:00,254
2019-12-01 07:33:37,70
2019-12-01 07:34:59,542
2019-12-01 07:35:09,915
2019-12-01 07:37:08,338
2019-12-01 07:37:37,379
2019-12-01 07:38:01,369
2019-12-01 07:40:22,550
2019-12-01 07:44:53,598
2019-12-01 07:47:39,166
2019-12-01 07:55:56,323
2019-12-01 07:56:56,1844
2019-12-01 07:59:27,532
2019-12-01 08:06:02,1018
2019-12-01 08:08:48,1998
2019-12-01 08:10:00,736
2019-12-01 08:10:35,1267
2019-12-01 08:11:12,225
2019-12-01 08:12:01,339
2019-12-01 08:14:20,1004
2019-12-01 08:15:34,193
2019-12-01 08:16:00,186
2019-12-01 08:16:03,887
2019-12-01 08:17:03,292
2019-12-01 08:17:48,1115
2019-12-01 08:18:12,248
2019-12-01 08:18:24,274
2019-12-01 08:19:00,356
2019-12-01 08:19:47,704
