tripduration,starttime
7.216666667,0.5166666667
14.63333333,0.5166666667
44.2,1.35
14.56666667,1.35
14.3,1.416666667
36.75,1.55
35.4,1.75
42.31666667,2.083333333
42.01666667,2.516666667
88.2,2.533333333
6.466666667,2.983333333
41.28333333,4.033333333
9.566666667,4.183333333
15.5,4.283333333
19.01666667,4.666666667
5.183333333,6.266666667
2.966666667,7.366666667
16.05,8.433333333
9.483333333,9.966666667
8.783333333,11.21666667
22.23333333,12.48333333
14.16666667,12.83333333
3.35,13.9
1.4,16.76666667
28.7,17.06666667
13.78333333,17.33333333
8.45,17.76666667
7.65,21.46666667
5.066666667,22.11666667
4.55,22.65
8.666666667,25.83333333
44.8,26.36666667
44.66666667,26.53333333
4.966666667,26.73333333
7.983333333,27.2
3.65,27.96666667
18.51666667,28.13333333
11.06666667,29.35
45.36666667,30.38333333
39.33333333,30.8
10.33333333,31.73333333
5.75,31.93333333
17.73333333,32.45
5.066666667,37.18333333
48.06666667,38.66666667
48,38.76666667
5.1,40.35
9.233333333,40.43333333
2.2,41.33333333
4.416666667,43.21666667
6.566666667,44.11666667
5.65,44.35
28.83333333,45.93333333
27.98333333,46.45
5,46.85
5.766666667,47.3
13.15,49.35
11.18333333,49.75
16.76666667,50.88333333
3.383333333,52.71666667
30.06666667,52.73333333
29.5,52.75
28.81666667,53.51666667
27.8,53.7
6.75,53.9
23.9,56.8
5.266666667,58.18333333
3.3,59.8
15.96666667,59.9
19.31666667,60
33.88333333,61.06666667
19.53333333,61.86666667
26.23333333,63.21666667
26.28333333,63.3
24.93333333,63.41666667
25.58333333,63.48333333
24.18333333,64.41666667
15.25,64.61666667
4.35,64.91666667
23.45,65.1
7,66.6
4.633333333,67.03333333
27.36666667,69.31666667
18.45,69.88333333
9.7,70.53333333
8.233333333,73.33333333
8.15,73.38333333
6.183333333,73.41666667
13.33333333,74.36666667
17.03333333,78.58333333
15.68333333,79.88333333
19.06666667,80.06666667
7.733333333,81.8
5.45,82.51666667
25.68333333,82.7
27.73333333,82.83333333
53.43333333,85.11666667
15.91666667,89.16666667
5.416666667,91.91666667
12.16666667,92.08333333
41.36666667,92.55
10.61666667,97.56666667
14.15,99.65
5.5,100.15
19.46666667,100.1833333
19.13333333,100.45
14.11666667,101.05
17.33333333,101.7
52.55,104.65
55.51666667,105.35
33.38333333,106.6666667
16.28333333,107.5666667
8.983333333,108.0666667
15.61666667,108.9333333
7.9,109.2333333
3.75,109.3333333
15.31666667,109.4
24.46666667,111.0666667
21.23333333,114.1666667
22.45,114.8
7.816666667,121.9
30.88333333,124.8
10.55,135.75
7.733333333,139.5833333
4.783333333,140.3166667
11.36666667,145.95
4.366666667,147.35
12.68333333,147.5
23.15,149.1
8.683333333,150.2666667
30,162.7666667
9.416666667,166.6666667
2.233333333,166.7166667
27.01666667,169.4166667
40.01666667,170.65
19.21666667,192.0666667
18.06666667,192.3
37.55,194.2333333
6.783333333,194.6833333
13.71666667,196.8
13.15,197.1333333
28.8,197.6666667
30.36666667,204.4833333
5.383333333,208.9
18.1,219.2333333
4.6,224.1333333
17.93333333,227.8833333
6.466666667,229.5666667
24.35,232.25
33.65,233.0833333
8.066666667,234.1166667
11.58333333,235.65
304.5333333,239.5833333
188.2333333,240.1333333
6.366666667,241.95
25.8,244.05
18.91666667,251.1333333
10.95,254.7333333
20.23333333,255.8
6.383333333,257
9.15,263.0666667
17.05,264.45
16.98333333,266.9833333
6.55,270.8166667
33.96666667,272.4
12.36666667,274.9666667
62.45,277.7166667
4.166666667,278.8666667
11.73333333,278.9333333
15.96666667,279.0166667
19.28333333,279.9166667
15.35,281.1
11,284.1333333
7.883333333,284.55
19.9,287.6666667
7.183333333,287.9166667
5.75,288.7
28.38333333,288.85
50.35,291.6
23.05,291.95
24.45,292.1
8.083333333,292.1666667
7.716666667,292.65
23.28333333,295.1333333
2.166666667,298.1166667
3.55,299.2333333
3,300.5166667
28.75,304.4166667
21.31666667,306.9
21.26666667,307.95
11.48333333,309.3166667
33.48333333,315.7833333
29.7,315.85
8.766666667,316.25
10.46666667,316.5666667
18.08333333,316.7
10.38333333,316.7333333
5.833333333,318.45
12.58333333,320.25
3.8,320.5
3.483333333,321.25
11.2,321.3833333
6.933333333,323.3166667
6.5,325.0666667
9.8,325.8833333
9.85,326.9
9.65,326.9666667
9.65,329.1333333
7.716666667,330.3333333
5.583333333,330.4333333
7.4,330.5833333
16.55,334.9
33.73333333,335.6166667
10.48333333,336.2
5.466666667,336.2833333
8.7,336.55
8.05,337.4166667
9.266666667,337.8833333
7.7,338.2666667
8.116666667,338.6
21.75,339.3333333
13.86666667,339.7333333
27.5,340.2166667
8.033333333,340.3666667
10.33333333,341.2166667
10.03333333,341.6666667
15.83333333,341.8
9.466666667,342.2833333
5.966666667,342.6
15.7,343.4
16.25,343.4333333
11.71666667,343.6833333
4.433333333,343.85
5.766666667,344.95
