tripduration,starttime
433,00:30.6
878,00:31.1
2652,01:20.8
874,01:21.3
858,01:24.7
2205,01:33.0
2124,01:45.2
2539,02:04.5
2521,02:30.7
5292,02:31.6
388,02:59.3
2477,04:02.2
574,04:11.4
930,04:16.5
1141,04:39.8
311,06:16.5
178,07:22.1
963,08:25.9
569,09:57.5
527,11:12.8
1334,12:29.2
850,12:49.7
201,13:54.3
84,16:45.9
1722,17:04.4
827,17:20.3
507,17:45.6
459,21:28.5
304,22:07.4
273,22:38.7
520,25:50.5
2688,26:21.9
2680,26:32.4
298,26:43.9
479,27:12.1
219,27:57.8
1111,28:08.1
664,29:20.6
2722,30:22.9
2360,30:47.5
620,31:43.5
345,31:55.7
1064,32:27.4
304,37:11.5
2884,38:40.0
2880,38:46.2
306,40:20.6
554,40:26.5
132,41:19.9
265,43:13.3
394,44:06.8
339,44:20.8
1730,45:55.6
1679,46:27.2
300,46:50.9
346,47:18.0
789,49:20.9
671,49:45.1
1006,50:53.1
203,52:42.6
1804,52:44.4
1770,52:44.8
1729,53:30.7
1668,53:42.4
405,53:53.7
1434,56:47.6
316,58:11.0
198,59:47.7
958,59:53.9
1159,00:00.0
2033,01:04.3
1172,01:52.2
1574,03:13.1
1577,03:17.7
1496,03:25.1
1535,03:28.9
1451,04:25.0
915,04:36.8
261,04:55.0
1407,05:06.0
420,06:35.7
278,07:02.3
1642,09:19.4
1107,09:53.1
582,10:32.1
494,13:20.3
489,13:22.8
371,13:25.2
800,14:21.6
1022,18:34.6
941,19:53.3
1144,20:04.3
464,21:48.3
327,22:31.4
1541,22:42.4
1664,22:49.6
3206,25:07.0
955,29:10.4
325,31:55.5
730,32:05.0
2482,32:32.6
637,37:33.9
849,39:38.7
330,40:08.5
1168,40:11.3
1148,40:27.5
847,41:03.5
1040,41:42.1
3153,44:39.1
3331,45:21.3
2003,46:39.7
977,47:34.4
539,48:03.7
937,48:56.2
474,49:13.7
225,49:20.1
919,49:23.9
1468,51:03.7
1274,54:09.7
1347,54:48.2
469,01:54.1
1853,04:47.8
633,15:45.4
464,19:35.4
287,20:18.8
682,25:57.0
262,27:20.5
761,27:29.8
1389,29:05.7
521,30:16.1
1800,42:46.1
565,46:39.6
134,46:43.0
1621,49:24.6
2401,50:38.6
1153,12:04.2
1084,12:17.8
2253,14:13.6
407,14:40.7
823,16:47.9
789,17:08.0
1728,17:40.1
1822,24:29.5
323,28:54.0
1086,39:13.9
276,44:07.7
1076,47:52.8
388,49:34.4
1461,52:15.3
2019,53:05.1
484,54:07.0
695,55:38.9
18272,59:35.2
11294,00:07.8
382,01:56.9
1548,04:02.5
1135,11:07.9
657,14:43.8
1214,15:48.3
383,17:00.4
549,23:03.7
1023,24:27.2
1019,26:58.8
393,30:48.7
2038,32:24.4
742,34:58.4
3747,37:42.7
250,38:52.2
704,38:55.8
958,39:00.8
1157,39:55.1
